Unnamed: 0,studyName,Sample Number,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Species
0,708,0,0,0.0,1,3,1,111107,0.25454545454545463,0.6666666666666665,0.15254237288135597,0.29166666666666674,0,0.0,0.0,0.3333333333333333,0
1,708,1,0,0.0,1,3,1,111107,0.26909090909090905,0.5119047619047619,0.2372881355932206,0.3055555555555556,1,0.2618135681340119,0.719310897683906,0.456140350877193,0
2,708,2,0,1.0,1,2,1,111607,0.2981818181818181,0.5833333333333335,0.38983050847457656,0.1527777777777778,1,0.14627543289785172,0.5216922995973219,0.456140350877193,0
3,708,3,0,1.0,1,4,1,111607,0.3272727272727274,0.4642857142857144,0.30508474576271194,0.3055555555555556,0,0.0,0.0,0.0,0
4,708,4,0,0.0,1,2,1,111607,0.16727272727272724,0.7380952380952381,0.3559322033898309,0.20833333333333337,1,0.22543401080197611,0.5244036436006407,0.456140350877193,0
5,708,5,0,0.0,1,1,1,111607,0.2618181818181817,0.8928571428571432,0.30508474576271194,0.26388888888888884,0,0.2052518526644822,0.5325160096196999,0.0,0
6,708,6,0,0.0,1,2,0,111507,0.2472727272727271,0.5595238095238098,0.15254237288135597,0.2569444444444444,0,0.3090384269880866,0.5572957129194309,0.456140350877193,0
7,708,7,0,0.0,1,3,0,111507,0.2581818181818183,0.7738095238095242,0.38983050847457656,0.5486111111111112,0,0.36337821702209516,0.6558481152135496,0.456140350877193,0
8,708,8,0,0.0,1,2,1,11907,0.07272727272727275,0.5952380952380953,0.3559322033898309,0.2152777777777778,0,0.0,0.0,0.24561403508771928,0
9,708,9,0,1.0,1,2,1,11907,0.3599999999999999,0.8452380952380953,0.30508474576271194,0.4305555555555556,0,0.2983938539714037,0.5957714176057847,0.43859649122807015,0
10,708,10,0,0.0,1,3,1,11907,0.20727272727272705,0.4761904761904763,0.2372881355932206,0.16666666666666663,0,0.19878680486327394,0.5587937614326801,0.43859649122807015,0
11,708,11,0,0.0,1,4,1,11907,0.20727272727272705,0.5,0.13559322033898313,0.2777777777777777,0,0.0,0.0,0.24561403508771928,0
12,708,12,0,0.0,1,2,1,111507,0.3272727272727274,0.535714285714286,0.1694915254237288,0.13888888888888884,0,0.0,0.0,0.3333333333333333,0
13,708,13,0,0.0,1,2,1,111507,0.23636363636363633,0.9642857142857144,0.3220338983050848,0.3055555555555556,0,0.0,0.0,0.3333333333333333,0
14,708,14,0,0.0,1,4,1,111607,0.09090909090909083,0.9523809523809526,0.4406779661016951,0.4722222222222223,0,0.1835632370313487,0.5548536462315106,0.456140350877193,0
15,708,15,0,1.0,1,2,1,111607,0.16363636363636358,0.5595238095238098,0.22033898305084776,0.2777777777777777,1,0.0,0.0,0.3333333333333333,0
16,708,16,0,0.0,1,3,1,111207,0.24,0.7023809523809526,0.38983050847457656,0.20833333333333337,1,0.3086608189087048,0.604057111551997,0.456140350877193,0
17,708,17,0,1.0,1,1,1,111207,0.3781818181818182,0.9047619047619047,0.42372881355932224,0.5,0,0.2073227348682507,0.5814563879079016,0.456140350877193,0
18,708,18,0,0.0,1,1,1,111607,0.08363636363636351,0.6309523809523809,0.20338983050847492,0.17361111111111116,1,0.6736430753037959,0.5525910977538562,0.456140350877193,0
19,708,19,0,1.0,1,4,1,111607,0.5054545454545454,1.0,0.37288135593220373,0.41666666666666674,0,0.2949238344629779,0.6952523623667934,0.456140350877193,0
20,708,20,0,0.731578947368421,1,2,1,111207,0.20727272727272705,0.6190476190476191,0.033898305084746116,0.19444444444444442,1,0.7406496289901248,0.5957249904824398,0.456140350877193,0
21,708,21,0,1.0,1,4,1,111207,0.20363636363636362,0.6666666666666665,0.13559322033898313,0.25,0,0.2048046852020562,0.6049887491604427,0.456140350877193,0
22,708,22,0,0.731578947368421,1,2,1,111207,0.13818181818181818,0.7261904761904763,0.2881355932203391,0.3055555555555556,1,0.31612950923669114,0.6140141819386109,0.456140350877193,0
23,708,23,0,1.0,1,2,1,111207,0.22181818181818191,0.5952380952380953,0.22033898305084776,0.3472222222222223,0,0.15939631995090298,0.5546184154732323,0.456140350877193,0
24,708,24,0,0.731578947368421,1,4,1,111007,0.24363636363636343,0.48809523809523814,0.13559322033898313,0.3055555555555556,0,0.39894094845609973,0.5323581574003295,0.456140350877193,0
25,708,25,0,1.0,1,4,1,111007,0.11636363636363622,0.6904761904761902,0.25423728813559343,0.3055555555555556,1,0.3141540227582402,0.8224533949060158,0.456140350877193,0
26,708,26,0,0.731578947368421,1,3,1,111207,0.3090909090909091,0.6547619047619051,0.1864406779661021,0.23611111111111116,0,0.2599076410386052,0.5124502069102128,0.456140350877193,0
27,708,27,0,0.731578947368421,1,2,1,111207,0.3054545454545454,0.5714285714285712,0.25423728813559343,0.13888888888888884,1,0.08927052478778408,0.47171814402931744,0.456140350877193,0
28,708,28,0,0.731578947368421,1,4,0,111007,0.2109090909090907,0.6547619047619051,0.0,0.125,1,0.149421504422387,0.5633683806528893,0.456140350877193,0
29,708,29,0,0.731578947368421,1,2,0,111007,0.3054545454545454,0.6904761904761902,0.13559322033898313,0.3472222222222223,0,0.2520176195904662,0.5888352053781185,0.456140350877193,0
30,708,30,0,1.0,1,4,1,11907,0.26909090909090905,0.4285714285714286,0.10169491525423746,0.1527777777777778,1,0.41047190675385825,0.5900299300188498,0.456140350877193,0
31,708,31,0,1.0,1,3,1,11907,0.18545454545454554,0.5952380952380953,0.10169491525423746,0.33333333333333326,0,0.9964345847662566,0.6216096593177687,0.456140350877193,0
32,708,32,0,1.0,1,4,1,11907,0.26909090909090905,0.5595238095238098,0.27118644067796627,0.16666666666666663,1,0.4040466071715325,0.6061339515362745,0.456140350877193,0
33,708,33,0,1.0,1,4,1,11907,0.31999999999999984,0.6904761904761902,0.20338983050847492,0.33333333333333326,0,0.2314240673875403,0.5796054932572341,0.456140350877193,0
34,708,34,0,1.0,1,2,1,111607,0.15636363636363626,0.4642857142857144,0.38983050847457656,0.17361111111111116,1,0.3073073920557621,0.5533896442753816,0.456140350877193,0
35,708,35,0,1.0,1,3,1,111607,0.2581818181818183,0.9523809523809526,0.4067796610169494,0.4027777777777777,0,0.3022613556686524,0.614029657646392,0.0,0
36,708,36,0,1.0,1,3,1,111607,0.24363636363636343,0.8214285714285716,0.30508474576271194,0.3472222222222223,0,0.3095690657101655,0.586835743932749,0.456140350877193,0
37,708,37,0,1.0,1,2,1,111607,0.3672727272727274,0.6428571428571428,0.13559322033898313,0.23611111111111116,1,0.08261071071405279,0.4714860084125956,0.456140350877193,0
38,708,38,0,1.0,1,2,0,111307,0.19999999999999996,0.7380952380952381,0.15254237288135597,0.16666666666666663,1,0.35358226847854946,0.6118630585569838,0.456140350877193,0
39,708,39,0,1.0,1,3,0,111307,0.2799999999999998,0.7142857142857144,0.20338983050847492,0.5416666666666667,0,0.0,0.0,1.0,0
40,708,40,0,1.0,1,1,1,111607,0.15999999999999992,0.5833333333333335,0.1694915254237288,0.125,0,0.4088362675468513,0.8034182743347769,0.456140350877193,0
41,708,41,0,1.0,1,1,1,111607,0.3163636363636362,0.6309523809523809,0.38983050847457656,0.33333333333333326,0,0.0,0.0,0.3333333333333333,0
42,708,42,0,1.0,1,2,1,111907,0.14181818181818184,0.6428571428571428,0.2372881355932206,0.11111111111111116,0,0.37274289739076805,0.6139584693905977,0.456140350877193,0
43,708,43,0,1.0,1,3,1,111907,0.4363636363636363,0.7857142857142856,0.4067796610169494,0.4722222222222223,0,0.3189794565305528,0.7711730896012536,0.456140350877193,0
44,708,44,0,1.0,1,4,1,111607,0.17818181818181822,0.4523809523809521,0.22033898305084776,0.08333333333333337,1,0.3441639280143858,0.6193656816894517,0.456140350877193,0
45,708,45,0,1.0,1,3,1,111607,0.2727272727272727,0.6785714285714288,0.30508474576271194,0.5277777777777777,0,0.3694318707578712,0.9025401826752546,0.456140350877193,0
46,708,46,0,1.0,1,3,1,111307,0.3272727272727274,0.7023809523809526,0.1694915254237288,0.20138888888888884,0,0.0,0.0,0.3333333333333333,0
47,708,47,0,1.0,1,2,1,111307,0.1963636363636363,0.6904761904761902,0.1186440677966103,0.07638888888888884,0,0.0,0.0,0.894736842105263,0
48,708,48,0,1.0,1,2,1,111307,0.14181818181818184,0.5714285714285712,0.30508474576271194,0.20833333333333337,1,0.37475415726621275,0.600986731128148,0.456140350877193,0
49,708,49,0,1.0,1,2,1,111307,0.37090909090909085,0.9642857142857144,0.3220338983050848,0.4027777777777777,0,0.24796528867541445,0.5673734938267403,0.456140350877193,0
50,809,50,0,0.731578947368421,1,4,1,11608,0.2727272727272727,0.5476190476190474,0.2372881355932206,0.2222222222222222,1,0.1657421230954641,0.27504975440051815,0.456140350877193,0
51,809,51,0,0.731578947368421,1,3,1,11608,0.290909090909091,0.6904761904761902,0.27118644067796627,0.4444444444444444,0,0.17517437543623648,0.14315648726194574,0.456140350877193,0
52,809,52,0,0.731578947368421,1,4,1,11908,0.10545454545454547,0.5714285714285712,0.30508474576271194,0.20833333333333337,1,0.11192899696164615,0.2619758764667104,0.456140350877193,0
53,809,53,0,0.731578947368421,1,4,1,11908,0.3599999999999999,0.7619047619047619,0.47457627118644075,0.375,0,0.16868150388181102,0.2178793947141191,0.0,0
54,809,54,0,0.731578947368421,1,3,1,11908,0.08727272727272717,0.5952380952380953,0.25423728813559343,0.05555555555555558,1,0.1562442861935356,0.14589259239771302,0.456140350877193,0
55,809,55,0,0.731578947368421,1,3,1,11908,0.33818181818181814,0.6547619047619051,0.3220338983050848,0.2777777777777777,0,0.14344337230248727,0.22904357030768807,0.456140350877193,0
56,809,56,0,0.731578947368421,1,3,1,111508,0.25090909090909097,0.5238095238095237,0.2372881355932206,0.23611111111111116,1,0.18677489311703943,0.29300467056860846,0.456140350877193,0
58,809,58,0,0.731578947368421,1,2,1,111508,0.15999999999999992,0.41666666666666696,0.15254237288135597,0.04166666666666663,1,0.828792894290407,0.35191140466809223,0.456140350877193,0
59,809,59,0,0.731578947368421,1,3,1,111508,0.19999999999999996,0.7142857142857144,0.37288135593220373,0.29166666666666674,0,0.2933021071325794,0.347203694360962,0.456140350877193,0
60,809,60,0,0.731578947368421,1,2,1,111308,0.13090909090909109,0.4523809523809521,0.22033898305084776,0.125,1,0.2648264831252911,0.1885281673357344,0.456140350877193,0
61,809,61,0,0.731578947368421,1,3,1,111308,0.3345454545454545,0.9523809523809526,0.38983050847457656,0.4722222222222223,0,0.2217592879663064,0.19822834097317532,0.456140350877193,0
62,809,62,0,0.731578947368421,1,4,1,111308,0.19999999999999996,0.4642857142857144,0.22033898305084776,0.25,1,0.18849201617275524,0.24849343984747208,0.456140350877193,0
